player,team,position,minutes,goals,assits,cs,points,bonus,price
Carrillo,Southampton,FWD,449,0,1,1,15,0,5.9
Carrillo,Watford,Middlesbrough,1529,1,3,4,64,4,5.4
Carroll,Swansea,Middlesbrough,2562,0,4,7,85,6,4.3
Carroll,West Ham,FWD,742,3,1,3,36,6,5.7
Carter-Vickers,Tottenham,DEF,0,0,0,0,0,0,4.5
Cathcart,Watford,DEF,495,0,0,1,14,0,4.4
Cavalieri,Crystal Palace,GKP,0,0,0,0,0,0,4.0
Cazorla,Arsenal,Middlesbrough,0,0,0,0,0,0,6.9
Cech,Arsenal,GKP,3039,0,0,11,124,7,5.3
Chadli,West Bromwich Albion,Middlesbrough,213,1,0,1,15,3,5.6
Chalobah,Chelsea,DEF,0,0,0,0,0,0,4.0
Chalobah,Watford,Middlesbrough,447,0,0,3,13,0,4.2
Chamberlain,Liverpool,Middlesbrough,1718,3,7,5,94,5,5.5
Chambers,Arsenal,DEF,864,0,0,2,23,0,4.7
Chicharito,West Ham,FWD,1537,8,2,6,93,14,6.7
Chilwell,Leicester,DEF,1848,0,2,6,65,4,4.4
Choudhury,Leicester,Middlesbrough,375,0,1,0,13,0,4.4
Choupo-Moting,Stoke,Middlesbrough,2241,5,5,5,107,9,5.2
Christensen,Chelsea,DEF,2067,0,0,8,79,4,5.3
Clark,Newcastle United,DEF,1745,2,1,4,64,6,4.3
Clasie,Southampton,Middlesbrough,0,0,0,0,0,0,4.4
Cleverley,Watford,Middlesbrough,1900,1,2,6,58,3,5.0
Clucas,Swansea,Middlesbrough,2039,3,1,5,75,4,4.7
Clyne,Liverpool,DEF,173,0,0,1,7,0,5.3
Colback,Newcastle United,Middlesbrough,0,0,0,0,0,0,4.2
Coleman,Everton,DEF,1035,0,1,4,39,0,6.4
Coleman,Huddersfield,GKP,0,0,0,0,0,0,3.9
Collins,West Ham,DEF,1049,1,0,3,36,3,4.3
Coquelin,Arsenal,Middlesbrough,164,0,0,0,7,0,4.3
Cork,Burnley,Middlesbrough,3420,2,1,12,100,6,4.5
Costa,Chelsea,FWD,0,0,0,0,0,0,9.5
Courtois,Chelsea,GKP,3150,0,0,15,136,4,5.3
Coutinho,Liverpool,Middlesbrough,1109,7,7,5,103,15,9.1
Cranie,Huddersfield,DEF,179,0,0,0,2,0,4.0
Cresswell,West Ham,DEF,3069,1,7,10,118,10,4.9
Crouch,Stoke,FWD,1551,5,2,2,73,6,4.8
Cullen,West Ham,Middlesbrough,6,0,0,0,2,0,4.5
C�dric,Southampton,DEF,2794,0,3,7,85,2,4.7
Daly,Crystal Palace,FWD,0,0,0,0,0,0,4.5
Daniels,Bournemouth,DEF,3001,1,3,6,94,4,4.7
Danilo,Manchester City,DEF,1340,3,2,9,100,8,5.0
Dann,Crystal Palace,DEF,1434,1,0,1,32,0,4.6
Darlow,Newcastle United,GKP,900,0,0,2,33,2,4.3
Darmian,Manchester United,DEF,443,0,0,3,27,3,4.9
David Luiz,Chelsea,DEF,838,1,2,3,32,0,5.7
David Silva,Manchester City,Middlesbrough,2431,9,11,14,169,26,8.2
Davies,Everton,Middlesbrough,1892,2,2,6,66,3,5.1
Davies,Tottenham,DEF,2323,2,7,12,143,14,5.8
Davis,Southampton,Middlesbrough,1515,3,2,4,71,6,4.7
Dawson,West Bromwich Albion,DEF,2510,2,1,8,87,4,4.8
De Bruyne,Manchester City,Middlesbrough,3073,8,18,19,209,25,10.3
De Gea,Manchester United,GKP,3330,0,0,18,172,10,5.9
de Jong,Newcastle United,Middlesbrough,0,0,0,0,0,0,4.9
Debuchy,Arsenal,DEF,0,0,0,0,0,0,4.5
Deeney,Watford,FWD,1836,5,2,6,73,7,6.3
Defoe,Bournemouth,FWD,1075,4,2,2,60,5,7.6
Defour,Burnley,Middlesbrough,1998,1,1,12,62,0,5.4
Delaney,Crystal Palace,DEF,95,0,0,0,1,0,4.2
Delph,Manchester City,Middlesbrough,1740,1,2,6,55,0,4.5
Demb�l�,Tottenham,Middlesbrough,1875,0,0,7,52,3,4.9
Depoitre,Huddersfield,FWD,1807,6,2,4,94,14,5.0
Deulofeu,Watford,Middlesbrough,433,1,1,2,25,3,5.5
Diabat�,Leicester,FWD,579,0,1,0,21,0,4.9
Diam�,Newcastle United,Middlesbrough,2034,2,0,6,70,3,4.6
Diangana,West Ham,Middlesbrough,0,0,0,0,0,0,4.5
Diaz,Manchester City,Middlesbrough,50,0,0,0,5,0,4.7
Dier,Tottenham,Middlesbrough,2822,0,2,15,85,2,4.7
Diouf,Stoke,FWD,2592,6,3,8,99,8,5.2
Doucour�,Watford,Middlesbrough,3324,7,4,9,136,16,5.2
Dragovic,Leicester,DEF,766,0,0,4,28,0,4.9
Drinkwater,Chelsea,Middlesbrough,520,1,0,1,24,1,4.7
Dubravka,Newcastle United,GKP,1080,0,0,4,53,5,4.5
Duffy,Brighton,DEF,3292,0,2,10,100,7,4.6
Dummett,Newcastle United,DEF,1602,0,0,5,52,0,4.2
Dunk,Brighton,DEF,3420,1,1,10,97,7,4.5
Dyer,Swansea,Middlesbrough,1300,0,1,3,41,0,4.4
Ederson,Manchester City,GKP,3195,0,0,16,158,10,5.7
Eduardo,Chelsea,GKP,0,0,0,0,0,0,4.7
Edwards,Stoke,DEF,481,0,0,0,6,0,4.0
Elliot,Newcastle United,GKP,1440,0,0,3,57,4,4.0
Elneny,Arsenal,Middlesbrough,865,0,1,3,22,0,4.2
Emerson,Chelsea,DEF,278,0,1,1,14,0,5.2
Eriksen,Tottenham,Middlesbrough,3218,11,10,17,199,23,9.7
Evans,West Bromwich Albion,DEF,2269,2,2,6,78,5,4.9
Evra,West Ham,DEF,227,0,0,0,2,0,4.1
Fabianski,Swansea,GKP,3420,0,0,9,157,14,4.7
Federici,Bournemouth,GKP,0,0,0,0,0,0,4.0
Feghouli,West Ham,Middlesbrough,0,0,0,0,0,0,5.5
Fellaini,Manchester United,Middlesbrough,611,4,0,4,47,3,4.7
Fer,Swansea,Middlesbrough,1394,1,1,4,41,0,5.2
Ferguson,West Bromwich Albion,DEF,0,0,0,0,0,0,4.0
Fernandes,West Ham,Middlesbrough,840,0,2,2,29,0,4.3
Fernandinho,Manchester City,Middlesbrough,2880,5,4,15,120,9,5.0
Fernando,Manchester City,Middlesbrough,0,0,0,0,0,0,4.5
Fern�ndez,Swansea,DEF,2676,1,1,7,85,10,4.5
Field,West Bromwich Albion,Middlesbrough,534,1,0,4,23,2,4.4
Firmino,Liverpool,FWD,2760,15,8,16,181,29,9.5
Flanagan,Liverpool,DEF,0,0,0,0,0,0,4.4
Fletcher,Stoke,Middlesbrough,2217,1,1,4,67,3,4.7
Fletcher,West Ham,FWD,0,0,0,0,0,0,4.5
Foden,Manchester City,Middlesbrough,45,0,1,0,8,0,4.7
Folivi,Watford,FWD,0,0,0,0,0,0,4.5
Fonte,West Ham,DEF,688,0,2,3,34,3,4.7
Forster,Southampton,GKP,1800,0,0,4,73,6,4.6
Foster,West Bromwich Albion,GKP,3330,0,0,10,123,11,4.3
Fosu-Mensah,Crystal Palace,DEF,1592,0,0,2,39,3,4.4
Foyth,Tottenham,DEF,0,0,0,0,0,0,4.5
Francis,Bournemouth,DEF,2708,0,1,4,56,3,4.3
Fraser,Bournemouth,Middlesbrough,2003,5,3,2,97,13,5.1
Fuchs,Leicester,DEF,1917,0,1,4,57,8,4.7
Fulton,Swansea,Middlesbrough,17,0,0,0,1,0,4.3
Funes Mori,Everton,DEF,119,0,0,0,3,0,4.9
F�bregas,Chelsea,Middlesbrough,2300,2,4,11,89,7,6.8
Gabbiadini,Southampton,FWD,1067,5,0,4,66,10,6.2
Gabr,West Bromwich Albion,DEF,0,0,0,0,0,0,4.2
Gabriel,Arsenal,DEF,0,0,0,0,0,0,5.0
Garbutt,Everton,DEF,0,0,0,0,0,0,4.0
Gayle,Newcastle United,FWD,1946,6,3,6,94,8,6.1
Gazzaniga,Tottenham,GKP,90,0,0,1,9,2,4.2
Gibbs,West Bromwich Albion,DEF,2826,0,2,8,86,2,5.0
Giroud,Chelsea,FWD,981,7,1,5,77,10,8.4
Goldson,Brighton,DEF,199,0,0,1,6,0,3.9
Gomes,Watford,GKP,2128,0,0,5,64,4,4.4
Gomez,Liverpool,DEF,1901,0,2,9,86,9,4.5
Gosling,Bournemouth,Middlesbrough,1941,2,1,1,59,4,4.8
Gouffran,Newcastle United,Middlesbrough,0,0,0,0,0,0,5.0
Gradel,Bournemouth,Middlesbrough,0,0,0,0,0,0,5.0
Grant,Stoke,GKP,270,0,0,0,5,0,4.2
Gray,Leicester,Middlesbrough,1683,3,3,4,80,2,5.3
Gray,Watford,FWD,1486,5,3,5,79,4,6.3
Green,Huddersfield,GKP,0,0,0,0,0,0,4.0
Gro�,Brighton,Middlesbrough,2928,7,8,10,164,24,5.9
Grujic,Liverpool,Middlesbrough,14,0,0,0,3,0,4.2
Gudmundsson,Burnley,Middlesbrough,2831,2,9,10,117,7,5.0
Gueye,Everton,Middlesbrough,2749,2,2,9,87,7,4.8
G�mez,Newcastle United,DEF,97,0,0,1,9,2,3.9
G�ndogan,Manchester City,Middlesbrough,1504,4,2,6,82,9,5.4
Hadergjonaj,Huddersfield,DEF,1670,0,1,4,51,5,4.5
Haidara,Newcastle United,DEF,3,0,0,0,1,0,3.9
Haksabanovic,West Ham,Middlesbrough,0,0,0,0,0,0,5.0
Hamer,Leicester,GKP,274,0,0,1,9,0,4.3
Hanley,Newcastle United,DEF,0,0,0,0,0,0,4.0
Harper,West Bromwich Albion,Middlesbrough,20,0,0,0,1,0,4.5
Hart,West Ham,GKP,1710,0,1,4,59,3,4.2
Haugaard,Stoke,GKP,0,0,0,0,0,0,4.0
Hayden,Newcastle United,Middlesbrough,1365,1,0,3,41,0,4.3
Hazard,Chelsea,Middlesbrough,2417,12,6,12,173,24,10.5
Heaton,Burnley,GKP,305,0,0,0,8,0,4.7
Hefele,Huddersfield,DEF,32,0,0,0,1,0,4.2
Hegazi,West Bromwich Albion,DEF,3386,2,0,10,114,11,4.6
Hemed,Brighton,FWD,842,2,2,3,43,5,4.6
Henderson,Liverpool,Middlesbrough,2169,1,1,14,75,3,5.3
Hendrick,Burnley,Middlesbrough,2326,2,2,9,85,1,5.4
Hennessey,Crystal Palace,GKP,2430,0,0,7,99,11,4.4
Henry,Crystal Palace,GKP,0,0,0,0,0,0,4.0
Herrera,Manchester United,Middlesbrough,1257,0,2,5,44,0,5.0
Hoedt,Southampton,DEF,2520,0,2,5,74,11,5.0
Hogg,Huddersfield,Middlesbrough,2396,0,0,7,53,0,4.4
Holding,Arsenal,DEF,819,0,1,3,27,1,4.4
Holebas,Watford,DEF,2381,0,4,6,72,6,4.8
Holgate,Everton,DEF,1183,0,0,4,37,0,4.0
Hudson,Huddersfield,DEF,0,0,0,0,0,0,4.0
Hudson-Odoi,Chelsea,Middlesbrough,27,0,0,0,2,0,4.5
Hughes,Leicester,DEF,0,0,0,0,0,0,4.0
Hughes,Watford,Middlesbrough,987,2,3,4,53,5,4.6
Hugill,West Ham,FWD,22,0,0,0,3,0,4.9
Huth,Leicester,DEF,0,0,0,0,0,0,4.8
Hyndman,Bournemouth,Middlesbrough,58,0,0,0,1,0,4.5
H�jbjerg,Southampton,Middlesbrough,1666,0,0,3,39,0,4.3
H�nemeier,Brighton,DEF,17,0,0,0,1,0,3.8
Ibe,Bournemouth,Middlesbrough,1988,2,6,4,85,5,4.6
Iborra,Leicester,Middlesbrough,1411,3,0,3,58,6,5.7
Ibrahimovic,Manchester United,FWD,102,0,0,0,5,0,9.5
Iheanacho,Leicester,FWD,818,3,4,1,54,5,6.5
Imbula,Stoke,Middlesbrough,0,0,0,0,0,0,4.5
Ince,Huddersfield,Middlesbrough,2450,2,1,7,82,3,5.5
Ings,Liverpool,FWD,262,1,1,3,18,0,5.4
Ireland,Stoke,Middlesbrough,128,0,0,0,4,0,4.5
Iwobi,Arsenal,Middlesbrough,1827,3,5,9,89,2,5.1
Izquierdo,Brighton,Middlesbrough,1976,5,5,5,101,4,5.9
Jach,Crystal Palace,DEF,0,0,0,0,0,0,4.2
Jagielka,Everton,DEF,2063,0,0,6,60,5,4.7
Jakupovic,Leicester,GKP,180,0,0,0,4,0,4.2
James,Leicester,Middlesbrough,991,0,0,4,26,0,4.4
Jameson,West Bromwich Albion,DEF,0,0,0,0,0,0,4.0
Janmaat,Watford,DEF,1818,3,1,2,59,3,4.8
Janssen,Tottenham,FWD,1,0,0,0,1,0,7.4
Jenkinson,Arsenal,DEF,0,0,0,0,0,0,4.5
Jesus,Manchester City,FWD,1660,13,7,9,126,18,10.4
Jes�,Stoke,Middlesbrough,609,1,1,1,31,2,5.4
Joel Pereira,Manchester United,GKP,0,0,0,0,0,0,3.9
Johnson,Stoke,DEF,546,0,0,0,5,0,4.1
Johnson,West Ham,Middlesbrough,0,0,0,0,0,0,4.4
Jones,Liverpool,Middlesbrough,0,0,0,0,0,0,4.5
Jones,Manchester United,DEF,1973,0,0,15,116,19,5.5
Jordan Ayew,Swansea,FWD,2850,7,2,7,108,12,5.4
Joselu,Newcastle United,FWD,1703,4,1,5,69,5,5.5
Jo�o M�rio,West Ham,Middlesbrough,1021,2,1,4,46,5,6.0
Kabasele,Watford,DEF,2329,2,0,6,68,2,4.4
Kaboul,Watford,DEF,151,0,0,1,7,0,4.2
Kachunga,Huddersfield,Middlesbrough,1327,1,1,6,46,0,5.7
Kaikai,Crystal Palace,Middlesbrough,13,0,0,0,1,0,4.3
Kane,Tottenham,FWD,3074,29,2,15,217,31,13.1
Kant�,Chelsea,Middlesbrough,2994,1,2,16,101,9,4.9
Karius,Liverpool,GKP,1710,0,0,10,88,5,4.9
Karnezis,Watford,GKP,1291,0,0,4,47,5,4.5
Kayal,Brighton,Middlesbrough,735,0,0,1,25,0,4.4
Keane,Everton,DEF,2559,0,1,7,81,11,5.3
Kelly,Crystal Palace,DEF,1193,0,0,4,34,1,4.1
Kenedy,Newcastle United,Middlesbrough,1023,2,2,6,51,5,4.8
Kenny,Everton,DEF,1589,0,2,5,50,2,3.9
Ki Sung-yueng,Swansea,Middlesbrough,1865,2,2,5,73,9,4.6
Kiko Femen�a,Watford,DEF,1709,1,1,5,65,9,4.3
King,Bournemouth,FWD,2450,8,4,7,110,10,7.0
King,Swansea,Middlesbrough,1247,3,1,1,51,1,4.2
Kingsley,Swansea,DEF,0,0,0,0,0,0,4.5
Kirby,Crystal Palace,Middlesbrough,0,0,0,0,0,0,4.5
Klaassen,Everton,Middlesbrough,248,0,0,0,7,0,6.9
Klavan,Liverpool,DEF,1449,1,0,8,78,9,4.1
Knockaert,Brighton,Middlesbrough,2415,3,1,11,88,6,5.5
Kolarov,Manchester City,DEF,0,0,0,0,0,0,5.5
Kolasinac,Arsenal,DEF,2146,2,4,10,108,6,5.8
Kompany,Manchester City,DEF,1394,1,1,6,60,2,5.9
Kongolo,Huddersfield,DEF,1047,0,0,2,30,2,4.4
Koscielny,Arsenal,DEF,2225,2,0,9,100,16,6.0
Kouyat�,West Ham,Middlesbrough,2798,2,3,7,86,2,5.0
Krul,Brighton,GKP,0,0,0,0,0,0,3.9
Krychowiak,West Bromwich Albion,Middlesbrough,1634,0,3,4,58,4,4.7
Lacazette,Arsenal,FWD,2197,14,5,10,138,11,10.3
Ladapo,Crystal Palace,FWD,16,0,0,0,1,0,4.5
Lallana,Liverpool,Middlesbrough,234,0,0,1,13,0,7.3
Lamela,Tottenham,Middlesbrough,826,2,4,4,55,1,6.3
Lanzini,West Ham,Middlesbrough,2039,5,7,6,106,11,6.6
Laporte,Manchester City,DEF,806,0,0,4,35,2,5.1
Lascelles,Newcastle United,DEF,2927,3,0,9,116,9,4.9
Lee Chung-yong,Crystal Palace,Middlesbrough,131,0,0,0,8,0,4.2
Legzdins,Burnley,GKP,0,0,0,0,0,0,4.0
Lejeune,Newcastle United,DEF,2103,0,2,5,66,6,4.3
Leko,West Bromwich Albion,Middlesbrough,0,0,0,0,0,0,4.5
Lemina,Southampton,Middlesbrough,1715,1,1,4,58,5,4.8
Lennon,Burnley,Middlesbrough,1906,0,4,6,65,0,5.4
Lewis Cook,Bournemouth,Middlesbrough,2234,0,2,3,58,0,4.3
Lindegaard,Burnley,GKP,0,0,0,0,0,0,4.0
Lindel�f,Manchester United,DEF,1284,0,0,5,47,1,4.9
Lingard,Manchester United,Middlesbrough,1807,8,6,9,128,10,6.0
Livermore,West Bromwich Albion,Middlesbrough,2671,2,2,8,89,6,4.8
Llorente,Tottenham,FWD,224,1,0,1,22,2,7.3
Lloris,Tottenham,GKP,3240,0,0,15,144,6,5.5
Locadia,Brighton,FWD,221,1,1,1,16,2,6.0
Loftus-Cheek,Crystal Palace,Middlesbrough,1871,2,5,6,77,2,4.4
Lokilo,Crystal Palace,Middlesbrough,0,0,0,0,0,0,4.3
Lolley,Huddersfield,Middlesbrough,217,1,0,0,11,0,4.3
Long,Burnley,DEF,1440,1,2,4,57,6,4.1
Long,Southampton,FWD,1570,2,2,4,53,0,5.6
Lookman,Everton,Middlesbrough,153,0,1,0,10,0,5.1
Lovren,Liverpool,DEF,2124,2,1,11,110,10,5.3
Lowton,Burnley,DEF,2295,0,3,8,89,4,4.4
Lucas,Liverpool,Middlesbrough,0,0,0,0,0,0,4.5
Lucas Moura,Tottenham,Middlesbrough,206,0,1,0,11,0,7.7
Lukaku,Manchester United,FWD,2866,16,7,14,162,18,11.5
Lukebakio,Watford,Middlesbrough,15,0,0,0,1,0,4.8
Lumeka,Crystal Palace,Middlesbrough,25,0,0,0,1,0,4.4
L�ssl,Huddersfield,GKP,3420,0,1,10,135,11,4.6
L�we,Huddersfield,DEF,1585,0,0,7,60,0,4.4
Macey,Arsenal,GKP,0,0,0,0,0,0,5.0
Maguire,Leicester,DEF,3420,2,4,9,117,10,5.5
Mahoney,Bournemouth,Middlesbrough,0,0,0,0,0,0,4.5
Mahrez,Leicester,Middlesbrough,2948,12,13,9,195,19,8.7
Maitland-Niles,Arsenal,Middlesbrough,908,0,0,3,25,0,4.5
Makasi,West Ham,Middlesbrough,0,0,0,0,0,0,4.5
Malone,Huddersfield,DEF,1110,0,1,3,41,4,4.3
Mangala,Everton,DEF,617,0,0,2,22,0,5.0
Manquillo,Newcastle United,DEF,1757,0,1,4,49,1,4.2
Man�,Liverpool,Middlesbrough,2189,10,8,15,147,8,9.4
March,Brighton,Middlesbrough,1838,1,3,6,74,3,4.8
Mariappa,Watford,DEF,2206,0,0,6,58,2,4.1
Marney,Burnley,Middlesbrough,0,0,0,0,0,0,4.4
Martial,Manchester United,Middlesbrough,1572,9,6,9,125,7,7.8
Martina,Everton,DEF,1830,0,2,5,55,0,4.1
Martinez,Arsenal,GKP,0,0,0,0,0,0,4.0
Martins Indi,Stoke,DEF,1242,0,0,1,20,0,4.9
Mart�nez,West Ham,FWD,0,0,0,0,0,0,5.0
Mason,Watford,DEF,0,0,0,0,0,0,3.9
Masterson,Liverpool,DEF,0,0,0,0,0,0,4.0
Masuaku,West Ham,DEF,1867,0,3,6,68,2,4.2
Mata,Manchester United,Middlesbrough,1919,3,5,15,100,6,6.8
Matic,Manchester United,Middlesbrough,3117,1,1,16,91,3,4.7
Matip,Liverpool,DEF,1995,1,0,9,81,3,5.4
Mavropanos,Arsenal,DEF,194,0,0,1,4,0,4.2
Mawson,Swansea,DEF,3420,2,1,9,112,7,5.1
Mbemba,Newcastle United,DEF,670,0,0,1,20,3,3.9
McArthur,Crystal Palace,Middlesbrough,2425,5,2,7,101,9,4.4
McAuley,West Bromwich Albion,DEF,454,0,0,0,8,0,4.5
McBurnie,Swansea,FWD,267,0,1,0,16,0,4.6
McCarthy,Everton,Middlesbrough,204,0,0,0,6,0,4.9
McCarthy,Southampton,GKP,1620,0,0,4,52,3,4.4
McClean,West Bromwich Albion,Middlesbrough,1391,1,0,6,45,1,4.7
McNeil,Burnley,FWD,1,0,0,0,1,0,4.5
McQueen,Southampton,DEF,142,0,0,1,14,2,4.2
McTominay,Manchester United,Middlesbrough,629,0,0,4,21,0,4.2
Mee,Burnley,DEF,2610,0,0,9,90,6,4.9
Melbourne,West Bromwich Albion,DEF,0,0,0,0,0,0,4.0
Mendy,Leicester,Middlesbrough,0,0,0,0,0,0,4.5
Mendy,Manchester City,DEF,360,0,1,2,20,1,6.3
Merino,Newcastle United,Middlesbrough,1337,1,1,3,49,4,4.9
Mertesacker,Arsenal,DEF,364,1,0,0,16,2,4.7
Mesa,Swansea,Middlesbrough,753,0,0,2,18,0,4.2
Mignolet,Liverpool,GKP,1710,0,0,7,67,0,4.7
Milivojevic,Crystal Palace,Middlesbrough,3079,10,2,8,144,21,5.2
Milner,Liverpool,DEF,1759,0,3,6,77,4,6.0
Mings,Bournemouth,DEF,201,0,0,0,3,0,4.2
Mirallas,Everton,Middlesbrough,135,0,0,0,5,0,6.0
Mitrovic,Newcastle United,FWD,89,1,0,0,10,0,4.7
Mkhitaryan,Arsenal,Middlesbrough,1712,3,9,12,107,9,7.7
Molumby,Brighton,Middlesbrough,0,0,0,0,0,0,4.5
Monreal,Arsenal,DEF,2241,5,2,10,130,15,5.7
Montero,Swansea,Middlesbrough,0,0,0,0,0,0,4.9
Mooy,Huddersfield,Middlesbrough,3066,4,3,10,113,8,5.2
Morata,Chelsea,FWD,2055,11,6,11,122,13,10.4
Moreno,Liverpool,DEF,1264,0,1,6,52,3,4.3
Morgan,Leicester,DEF,2817,0,0,5,61,1,4.4
Morrison,West Bromwich Albion,Middlesbrough,205,1,0,2,13,0,5.3
Moses,Chelsea,DEF,2109,3,6,11,131,9,6.5
Mounie,Huddersfield,FWD,1849,7,2,6,92,12,5.5
