player,team,position,minutes,goals,assits,cs,points,bonus,price
Collins,WHU,DEF,1049,1,0,3,36,3,4.3
Coquelin,ARS,MID,164,0,0,0,7,0,4.3
Cork,BUR,MID,3420,2,1,12,100,6,4.5
Costa,CHE,FWD,0,0,0,0,0,0,9.5
Courtois,CHE,GKP,3150,0,0,15,136,4,5.3
Coutinho,LIV,MID,1109,7,7,5,103,15,9.1
Cranie,HUD,DEF,179,0,0,0,2,0,4
Cresswell,WHU,DEF,3069,1,7,10,118,10,4.9
Crouch,STK,FWD,1551,5,2,2,73,6,4.8
Cullen,WHU,MID,6,0,0,0,2,0,4.5
C�dric,SOU,DEF,2794,0,3,7,85,2,4.7
Daly,CRY,FWD,0,0,0,0,0,0,4.5
Daniels,BOU,DEF,3001,1,3,6,94,4,4.7
Danilo,MCI,DEF,1340,3,2,9,100,8,5
Dann,CRY,DEF,1434,1,0,1,32,0,4.6
Darlow,NEW,GKP,900,0,0,2,33,2,4.3
Darmian,MUN,DEF,443,0,0,3,27,3,4.9
David Luiz,CHE,DEF,838,1,2,3,32,0,5.7
David Silva,MCI,MID,2431,9,11,14,169,26,8.2
Davies,EVE,MID,1892,2,2,6,66,3,5.1
Davies,TOT,DEF,2323,2,7,12,143,14,5.8
Davis,SOU,MID,1515,3,2,4,71,6,4.7
Dawson,WBA,DEF,2510,2,1,8,87,4,4.8
De Bruyne,MCI,MID,3073,8,18,19,209,25,10.3
De Gea,MUN,GKP,3330,0,0,18,172,10,5.9
de Jong,NEW,MID,0,0,0,0,0,0,4.9
Debuchy,ARS,DEF,0,0,0,0,0,0,4.5
Deeney,WAT,FWD,1836,5,2,6,73,7,6.3
Defoe,BOU,FWD,1075,4,2,2,60,5,7.6
Defour,BUR,MID,1998,1,1,12,62,0,5.4
Delaney,CRY,DEF,95,0,0,0,1,0,4.2
Delph,MCI,MID,1740,1,2,6,55,0,4.5
Demb�l�,TOT,MID,1875,0,0,7,52,3,4.9
Depoitre,HUD,FWD,1807,6,2,4,94,14,5
Deulofeu,WAT,MID,433,1,1,2,25,3,5.5
Diabat�,LEI,FWD,579,0,1,0,21,0,4.9
Diam�,NEW,MID,2034,2,0,6,70,3,4.6
Diangana,WHU,MID,0,0,0,0,0,0,4.5
Diaz,MCI,MID,50,0,0,0,5,0,4.7
Dier,TOT,MID,2822,0,2,15,85,2,4.7
Diouf,STK,FWD,2592,6,3,8,99,8,5.2
Doucour�,WAT,MID,3324,7,4,9,136,16,5.2
Dragovic,LEI,DEF,766,0,0,4,28,0,4.9
Drinkwater,CHE,MID,520,1,0,1,24,1,4.7
Dubravka,NEW,GKP,1080,0,0,4,53,5,4.5
Duffy,BHA,DEF,3292,0,2,10,100,7,4.6
Dummett,NEW,DEF,1602,0,0,5,52,0,4.2
Dunk,BHA,DEF,3420,1,1,10,97,7,4.5
Dyer,SWA,MID,1300,0,1,3,41,0,4.4
Ederson,MCI,GKP,3195,0,0,16,158,10,5.7
Eduardo,CHE,GKP,0,0,0,0,0,0,4.7
Edwards,STK,DEF,481,0,0,0,6,0,4
Elliot,NEW,GKP,1440,0,0,3,57,4,4
Elneny,ARS,MID,865,0,1,3,22,0,4.2
Emerson,CHE,DEF,278,0,1,1,14,0,5.2
Eriksen,TOT,MID,3218,11,10,17,199,23,9.7
Evans,WBA,DEF,2269,2,2,6,78,5,4.9
Evra,WHU,DEF,227,0,0,0,2,0,4.1
Fabianski,SWA,GKP,3420,0,0,9,157,14,4.7
Federici,BOU,GKP,0,0,0,0,0,0,4
Feghouli,WHU,MID,0,0,0,0,0,0,5.5
Fellaini,MUN,MID,611,4,0,4,47,3,4.7
Fer,SWA,MID,1394,1,1,4,41,0,5.2
Ferguson,WBA,DEF,0,0,0,0,0,0,4
Fernandes,WHU,MID,840,0,2,2,29,0,4.3
Fernandinho,MCI,MID,2880,5,4,15,120,9,5
Fernando,MCI,MID,0,0,0,0,0,0,4.5
Fern�ndez,SWA,DEF,2676,1,1,7,85,10,4.5
Field,WBA,MID,534,1,0,4,23,2,4.4
Firmino,LIV,FWD,2760,15,8,16,181,29,9.5
Flanagan,LIV,DEF,0,0,0,0,0,0,4.4
Fletcher,STK,MID,2217,1,1,4,67,3,4.7
Fletcher,WHU,FWD,0,0,0,0,0,0,4.5
Foden,MCI,MID,45,0,1,0,8,0,4.7
Folivi,WAT,FWD,0,0,0,0,0,0,4.5
Fonte,WHU,DEF,688,0,2,3,34,3,4.7
Forster,SOU,GKP,1800,0,0,4,73,6,4.6
Foster,WBA,GKP,3330,0,0,10,123,11,4.3
Fosu-Mensah,CRY,DEF,1592,0,0,2,39,3,4.4
Foyth,TOT,DEF,0,0,0,0,0,0,4.5
Francis,BOU,DEF,2708,0,1,4,56,3,4.3
Fraser,BOU,MID,2003,5,3,2,97,13,5.1
Fuchs,LEI,DEF,1917,0,1,4,57,8,4.7
Fulton,SWA,MID,17,0,0,0,1,0,4.3
Funes Mori,EVE,DEF,119,0,0,0,3,0,4.9
F�bregas,CHE,MID,2300,2,4,11,89,7,6.8
Gabbiadini,SOU,FWD,1067,5,0,4,66,10,6.2
Gabr,WBA,DEF,0,0,0,0,0,0,4.2
Gabriel,ARS,DEF,0,0,0,0,0,0,5
Garbutt,EVE,DEF,0,0,0,0,0,0,4
Gayle,NEW,FWD,1946,6,3,6,94,8,6.1
Gazzaniga,TOT,GKP,90,0,0,1,9,2,4.2
Gibbs,WBA,DEF,2826,0,2,8,86,2,5
Giroud,CHE,FWD,981,7,1,5,77,10,8.4
Goldson,BHA,DEF,199,0,0,1,6,0,3.9
Gomes,WAT,GKP,2128,0,0,5,64,4,4.4
Gomez,LIV,DEF,1901,0,2,9,86,9,4.5
Gosling,BOU,MID,1941,2,1,1,59,4,4.8
Gouffran,NEW,MID,0,0,0,0,0,0,5
Gradel,BOU,MID,0,0,0,0,0,0,5
Grant,STK,GKP,270,0,0,0,5,0,4.2
Gray,LEI,MID,1683,3,3,4,80,2,5.3
Gray,WAT,FWD,1486,5,3,5,79,4,6.3
Green,HUD,GKP,0,0,0,0,0,0,4
Gro�,BHA,MID,2928,7,8,10,164,24,5.9
Grujic,LIV,MID,14,0,0,0,3,0,4.2
Gudmundsson,BUR,MID,2831,2,9,10,117,7,5
Gueye,EVE,MID,2749,2,2,9,87,7,4.8
G�mez,NEW,DEF,97,0,0,1,9,2,3.9
G�ndogan,MCI,MID,1504,4,2,6,82,9,5.4
Hadergjonaj,HUD,DEF,1670,0,1,4,51,5,4.5
Haidara,NEW,DEF,3,0,0,0,1,0,3.9
Haksabanovic,WHU,MID,0,0,0,0,0,0,5
Hamer,LEI,GKP,274,0,0,1,9,0,4.3
Hanley,NEW,DEF,0,0,0,0,0,0,4
Harper,WBA,MID,20,0,0,0,1,0,4.5
Hart,WHU,GKP,1710,0,1,4,59,3,4.2
Haugaard,STK,GKP,0,0,0,0,0,0,4
Hayden,NEW,MID,1365,1,0,3,41,0,4.3
Hazard,CHE,MID,2417,12,6,12,173,24,10.5
Heaton,BUR,GKP,305,0,0,0,8,0,4.7
Hefele,HUD,DEF,32,0,0,0,1,0,4.2
Hegazi,WBA,DEF,3386,2,0,10,114,11,4.6
Hemed,BHA,FWD,842,2,2,3,43,5,4.6
Henderson,LIV,MID,2169,1,1,14,75,3,5.3
Hendrick,BUR,MID,2326,2,2,9,85,1,5.4
Hennessey,CRY,GKP,2430,0,0,7,99,11,4.4
Henry,CRY,GKP,0,0,0,0,0,0,4
Herrera,MUN,MID,1257,0,2,5,44,0,5
Hoedt,SOU,DEF,2520,0,2,5,74,11,5
Hogg,HUD,MID,2396,0,0,7,53,0,4.4
Holding,ARS,DEF,819,0,1,3,27,1,4.4
Holebas,WAT,DEF,2381,0,4,6,72,6,4.8
Holgate,EVE,DEF,1183,0,0,4,37,0,4
Hudson,HUD,DEF,0,0,0,0,0,0,4
Hudson-Odoi,CHE,MID,27,0,0,0,2,0,4.5
Hughes,LEI,DEF,0,0,0,0,0,0,4
Hughes,WAT,MID,987,2,3,4,53,5,4.6
Hugill,WHU,FWD,22,0,0,0,3,0,4.9
Huth,LEI,DEF,0,0,0,0,0,0,4.8
Hyndman,BOU,MID,58,0,0,0,1,0,4.5
H�jbjerg,SOU,MID,1666,0,0,3,39,0,4.3
H�nemeier,BHA,DEF,17,0,0,0,1,0,3.8
Ibe,BOU,MID,1988,2,6,4,85,5,4.6
Iborra,LEI,MID,1411,3,0,3,58,6,5.7
Ibrahimovic,MUN,FWD,102,0,0,0,5,0,9.5
Iheanacho,LEI,FWD,818,3,4,1,54,5,6.5
Imbula,STK,MID,0,0,0,0,0,0,4.5
Ince,HUD,MID,2450,2,1,7,82,3,5.5
Ings,LIV,FWD,262,1,1,3,18,0,5.4
Ireland,STK,MID,128,0,0,0,4,0,4.5
Iwobi,ARS,MID,1827,3,5,9,89,2,5.1
Izquierdo,BHA,MID,1976,5,5,5,101,4,5.9
Jach,CRY,DEF,0,0,0,0,0,0,4.2
Jagielka,EVE,DEF,2063,0,0,6,60,5,4.7
Jakupovic,LEI,GKP,180,0,0,0,4,0,4.2
James,LEI,MID,991,0,0,4,26,0,4.4
Jameson,WBA,DEF,0,0,0,0,0,0,4
Janmaat,WAT,DEF,1818,3,1,2,59,3,4.8
Janssen,TOT,FWD,1,0,0,0,1,0,7.4
Jenkinson,ARS,DEF,0,0,0,0,0,0,4.5
Jesus,MCI,FWD,1660,13,7,9,126,18,10.4
Jes�,STK,MID,609,1,1,1,31,2,5.4
Joel Pereira,MUN,GKP,0,0,0,0,0,0,3.9
Johnson,STK,DEF,546,0,0,0,5,0,4.1
Johnson,WHU,MID,0,0,0,0,0,0,4.4
Jones,LIV,MID,0,0,0,0,0,0,4.5
Jones,MUN,DEF,1973,0,0,15,116,19,5.5
Jordan Ayew,SWA,FWD,2850,7,2,7,108,12,5.4
Joselu,NEW,FWD,1703,4,1,5,69,5,5.5
Jo�o M�rio,WHU,MID,1021,2,1,4,46,5,6
Kabasele,WAT,DEF,2329,2,0,6,68,2,4.4
Kaboul,WAT,DEF,151,0,0,1,7,0,4.2
Kachunga,HUD,MID,1327,1,1,6,46,0,5.7
Kaikai,CRY,MID,13,0,0,0,1,0,4.3
Kane,TOT,FWD,3074,29,2,15,217,31,13.1
Kant�,CHE,MID,2994,1,2,16,101,9,4.9
Karius,LIV,GKP,1710,0,0,10,88,5,4.9
Karnezis,WAT,GKP,1291,0,0,4,47,5,4.5
Kayal,BHA,MID,735,0,0,1,25,0,4.4
Keane,EVE,DEF,2559,0,1,7,81,11,5.3
Kelly,CRY,DEF,1193,0,0,4,34,1,4.1
Kenedy,NEW,MID,1023,2,2,6,51,5,4.8
Kenny,EVE,DEF,1589,0,2,5,50,2,3.9
Ki Sung-yueng,SWA,MID,1865,2,2,5,73,9,4.6
Kiko Femen�a,WAT,DEF,1709,1,1,5,65,9,4.3
King,BOU,FWD,2450,8,4,7,110,10,7
King,SWA,MID,1247,3,1,1,51,1,4.2
Kingsley,SWA,DEF,0,0,0,0,0,0,4.5
Kirby,CRY,MID,0,0,0,0,0,0,4.5
Klaassen,EVE,MID,248,0,0,0,7,0,6.9
Klavan,LIV,DEF,1449,1,0,8,78,9,4.1
Knockaert,BHA,MID,2415,3,1,11,88,6,5.5
Kolarov,MCI,DEF,0,0,0,0,0,0,5.5
Kolasinac,ARS,DEF,2146,2,4,10,108,6,5.8
Kompany,MCI,DEF,1394,1,1,6,60,2,5.9
Kongolo,HUD,DEF,1047,0,0,2,30,2,4.4
Koscielny,ARS,DEF,2225,2,0,9,100,16,6
Kouyat�,WHU,MID,2798,2,3,7,86,2,5
Krul,BHA,GKP,0,0,0,0,0,0,3.9
Krychowiak,WBA,MID,1634,0,3,4,58,4,4.7
Lacazette,ARS,FWD,2197,14,5,10,138,11,10.3
Ladapo,CRY,FWD,16,0,0,0,1,0,4.5
Lallana,LIV,MID,234,0,0,1,13,0,7.3
Lamela,TOT,MID,826,2,4,4,55,1,6.3
Lanzini,WHU,MID,2039,5,7,6,106,11,6.6
Laporte,MCI,DEF,806,0,0,4,35,2,5.1
Lascelles,NEW,DEF,2927,3,0,9,116,9,4.9
Lee Chung-yong,CRY,MID,131,0,0,0,8,0,4.2
Legzdins,BUR,GKP,0,0,0,0,0,0,4
Lejeune,NEW,DEF,2103,0,2,5,66,6,4.3
Leko,WBA,MID,0,0,0,0,0,0,4.5
Lemina,SOU,MID,1715,1,1,4,58,5,4.8
Lennon,BUR,MID,1906,0,4,6,65,0,5.4
Lewis Cook,BOU,MID,2234,0,2,3,58,0,4.3
Lindegaard,BUR,GKP,0,0,0,0,0,0,4
Lindel�f,MUN,DEF,1284,0,0,5,47,1,4.9
Lingard,MUN,MID,1807,8,6,9,128,10,6
Livermore,WBA,MID,2671,2,2,8,89,6,4.8
Llorente,TOT,FWD,224,1,0,1,22,2,7.3
Lloris,TOT,GKP,3240,0,0,15,144,6,5.5
Locadia,BHA,FWD,221,1,1,1,16,2,6
Loftus-Cheek,CRY,MID,1871,2,5,6,77,2,4.4
Lokilo,CRY,MID,0,0,0,0,0,0,4.3
Lolley,HUD,MID,217,1,0,0,11,0,4.3
Long,BUR,DEF,1440,1,2,4,57,6,4.1
Long,SOU,FWD,1570,2,2,4,53,0,5.6
Lookman,EVE,MID,153,0,1,0,10,0,5.1
Lovren,LIV,DEF,2124,2,1,11,110,10,5.3
Lowton,BUR,DEF,2295,0,3,8,89,4,4.4
Lucas,LIV,MID,0,0,0,0,0,0,4.5
Lucas Moura,TOT,MID,206,0,1,0,11,0,7.7
Lukaku,MUN,FWD,2866,16,7,14,162,18,11.5
Lukebakio,WAT,MID,15,0,0,0,1,0,4.8
Lumeka,CRY,MID,25,0,0,0,1,0,4.4
L�ssl,HUD,GKP,3420,0,1,10,135,11,4.6
L�we,HUD,DEF,1585,0,0,7,60,0,4.4
Macey,ARS,GKP,0,0,0,0,0,0,5
Maguire,LEI,DEF,3420,2,4,9,117,10,5.5
Mahoney,BOU,MID,0,0,0,0,0,0,4.5
Mahrez,LEI,MID,2948,12,13,9,195,19,8.7
Maitland-Niles,ARS,MID,908,0,0,3,25,0,4.5
Makasi,WHU,MID,0,0,0,0,0,0,4.5
Malone,HUD,DEF,1110,0,1,3,41,4,4.3
Mangala,EVE,DEF,617,0,0,2,22,0,5
Manquillo,NEW,DEF,1757,0,1,4,49,1,4.2
Man�,LIV,MID,2189,10,8,15,147,8,9.4
March,BHA,MID,1838,1,3,6,74,3,4.8
Mariappa,WAT,DEF,2206,0,0,6,58,2,4.1
Marney,BUR,MID,0,0,0,0,0,0,4.4
Martial,MUN,MID,1572,9,6,9,125,7,7.8
Martina,EVE,DEF,1830,0,2,5,55,0,4.1
Martinez,ARS,GKP,0,0,0,0,0,0,4
Martins Indi,STK,DEF,1242,0,0,1,20,0,4.9
Mart�nez,WHU,FWD,0,0,0,0,0,0,5
Mason,WAT,DEF,0,0,0,0,0,0,3.9
Masterson,LIV,DEF,0,0,0,0,0,0,4
Masuaku,WHU,DEF,1867,0,3,6,68,2,4.2
Mata,MUN,MID,1919,3,5,15,100,6,6.8
Matic,MUN,MID,3117,1,1,16,91,3,4.7
Matip,LIV,DEF,1995,1,0,9,81,3,5.4
Mavropanos,ARS,DEF,194,0,0,1,4,0,4.2
Mawson,SWA,DEF,3420,2,1,9,112,7,5.1
Mbemba,NEW,DEF,670,0,0,1,20,3,3.9
McArthur,CRY,MID,2425,5,2,7,101,9,4.4
McAuley,WBA,DEF,454,0,0,0,8,0,4.5
McBurnie,SWA,FWD,267,0,1,0,16,0,4.6
McCarthy,EVE,MID,204,0,0,0,6,0,4.9
McCarthy,SOU,GKP,1620,0,0,4,52,3,4.4
McClean,WBA,MID,1391,1,0,6,45,1,4.7
McNeil,BUR,FWD,1,0,0,0,1,0,4.5
McQueen,SOU,DEF,142,0,0,1,14,2,4.2
McTominay,MUN,MID,629,0,0,4,21,0,4.2
Mee,BUR,DEF,2610,0,0,9,90,6,4.9
Melbourne,WBA,DEF,0,0,0,0,0,0,4
Mendy,LEI,MID,0,0,0,0,0,0,4.5
Mendy,MCI,DEF,360,0,1,2,20,1,6.3
Merino,NEW,MID,1337,1,1,3,49,4,4.9
Mertesacker,ARS,DEF,364,1,0,0,16,2,4.7
Mesa,SWA,MID,753,0,0,2,18,0,4.2
Mignolet,LIV,GKP,1710,0,0,7,67,0,4.7
Milivojevic,CRY,MID,3079,10,2,8,144,21,5.2
Milner,LIV,DEF,1759,0,3,6,77,4,6
Mings,BOU,DEF,201,0,0,0,3,0,4.2
Mirallas,EVE,MID,135,0,0,0,5,0,6
Mitrovic,NEW,FWD,89,1,0,0,10,0,4.7
Mkhitaryan,ARS,MID,1712,3,9,12,107,9,7.7
Molumby,BHA,MID,0,0,0,0,0,0,4.5
Monreal,ARS,DEF,2241,5,2,10,130,15,5.7
Montero,SWA,MID,0,0,0,0,0,0,4.9
Mooy,HUD,MID,3066,4,3,10,113,8,5.2
Morata,CHE,FWD,2055,11,6,11,122,13,10.4
Moreno,LIV,DEF,1264,0,1,6,52,3,4.3
Morgan,LEI,DEF,2817,0,0,5,61,1,4.4
Morrison,WBA,MID,205,1,0,2,13,0,5.3
Moses,CHE,DEF,2109,3,6,11,131,9,6.5
Mounie,HUD,FWD,1849,7,2,6,92,12,5.5
Mousset,BOU,FWD,581,2,0,1,36,3,4.9
Mukena,WAT,DEF,0,0,0,0,0,0,4
Mulder,SWA,GKP,0,0,0,0,0,0,4
Muniesa,STK,DEF,0,0,0,0,0,0,4.5
Murphy,BHA,MID,166,0,0,0,6,0,4.7
Murphy,NEW,FWD,0,0,0,0,0,0,4.5
Murphy,NEW,MID,1137,1,2,2,51,2,5
Murray,BHA,FWD,2184,12,0,8,111,16,5.9
Musa,LEI,MID,0,0,0,0,0,0,6.1
Musonda,CHE,MID,35,0,1,0,6,0,4.8
Mustafi,ARS,DEF,2272,3,1,10,109,13,5.4
Mutch,CRY,MID,0,0,0,0,0,0,4.5
Myhill,WBA,GKP,90,0,0,0,1,0,4
M�enp��,BHA,GKP,0,0,0,0,0,0,3.9
Narsingh,SWA,MID,614,1,0,1,30,3,4.7
Naughton,SWA,DEF,3030,0,2,9,101,11,4.6
Ndidi,LEI,MID,2896,0,4,9,78,4,4.9
Ndong,WAT,MID,0,0,0,0,0,0,4.5
Ndukwu,LEI,DEF,0,0,0,0,0,0,4
Nelson,ARS,MID,144,0,0,0,5,0,4.7
Ngoy,STK,FWD,19,0,0,0,1,0,4.5
Niasse,EVE,FWD,1076,8,3,0,83,14,4.6
Nketiah,ARS,FWD,17,0,0,0,3,0,5
Nkoudou,BUR,MID,223,0,0,1,11,0,5.3
Nmecha,MCI,FWD,14,0,0,0,2,0,4.5
Noble,WHU,MID,2400,4,0,7,84,7,5.3
Nolito,MCI,MID,0,0,0,0,0,0,7
Nordfeldt,SWA,GKP,0,0,0,0,0,0,3.9
Norwood,BHA,MID,0,0,0,0,0,0,4.5
Nyom,WBA,DEF,2306,0,1,7,70,6,4.7
O'Neill,BUR,MID,0,0,0,0,0,0,4.5
Oakley-Boothe,TOT,MID,0,0,0,0,0,0,4.5
Obafemi,SOU,FWD,8,0,0,0,1,0,4.5
Obiang,WHU,MID,1562,2,0,5,54,6,4.2
Ogbonna,WHU,DEF,2880,1,0,7,77,4,4.2
Okaka,WAT,FWD,442,1,1,2,24,1,5.3
Okazaki,LEI,FWD,1314,6,3,5,76,7,5.3
Olsson,SWA,DEF,3149,0,1,10,89,0,5
Origi,LIV,FWD,9,0,0,0,1,0,7.4
Oriol Romeu,SOU,MID,2897,1,0,8,68,0,4.2
Osei-Tutu,ARS,DEF,0,0,0,0,0,0,4
Ospina,ARS,GKP,380,0,0,2,19,1,4.8
Otamendi,MCI,DEF,2966,4,0,15,156,21,6.4
Oxford,WHU,DEF,4,0,0,0,1,0,4.5
Palmer,CHE,MID,168,0,0,1,4,0,5.3
Palmer,WBA,GKP,0,0,0,0,0,0,4
Pantilimon,WAT,GKP,0,0,0,0,0,0,4.5
Pask,WHU,DEF,0,0,0,0,0,0,4
Payne,HUD,MID,0,0,0,0,0,0,4.5
Pedro,CHE,MID,1511,4,2,8,81,2,7.7
Pennington,EVE,DEF,0,0,0,0,0,0,4
Pereira,MUN,MID,0,0,0,0,0,0,4.9
Pereyra,WAT,MID,1610,5,3,1,81,5,5.8
Phillips,WBA,MID,2087,2,3,10,81,3,5.4
Pickford,EVE,GKP,3420,0,0,10,145,16,4.9
Pied,SOU,DEF,180,0,1,0,7,1,4.2
Pieters,STK,DEF,2717,0,1,7,71,1,4.7
Pogba,MUN,MID,2145,6,13,11,138,15,7.9
Pope,BUR,GKP,3114,0,0,11,152,19,5
Pritchard,HUD,MID,997,1,2,3,40,3,5.4
Pr�dl,WAT,DEF,1566,0,0,5,42,0,4.3
Pr�pper,BHA,MID,3118,0,4,9,87,1,5.3
Pugh,BOU,MID,974,0,0,5,32,0,4.7
